epoch,step,train_step_loss,val_step_loss
28,202,93.43437957763672,
28,202,,72.11756134033203
29,203,117.03778076171875,
29,204,85.41914367675781,
29,205,136.92880249023438,
29,206,139.2415313720703,
29,207,203.0271759033203,
29,208,119.6795654296875,
29,209,73.4361801147461,
29,209,,72.23260498046875
30,210,157.95814514160156,
30,211,72.82738494873047,
30,212,159.85643005371094,
30,213,127.62703704833984,
30,214,149.2453155517578,
30,215,174.417236328125,
30,216,86.2188720703125,
30,216,,71.41651916503906
31,217,100.88650512695312,
31,218,140.3236083984375,
31,219,149.2786407470703,
31,220,153.25599670410156,
31,221,120.4587173461914,
31,222,127.1453857421875,
31,223,137.9436492919922,
31,223,,70.84870147705078
32,224,124.78096771240234,
32,225,195.4657440185547,
32,226,50.83637237548828,
32,227,111.57844543457031,
32,228,77.09358978271484,
32,229,103.25955963134766,
32,230,151.53604125976562,
32,230,,69.9976577758789
33,231,150.3692169189453,
33,232,106.15594482421875,
33,233,173.01515197753906,
33,234,83.5734634399414,
33,235,252.4408721923828,
33,236,83.51405334472656,
33,237,76.69352722167969,
33,237,,69.70990753173828
34,238,97.2964859008789,
34,239,101.39216613769531,
34,240,205.87803649902344,
34,241,62.4947509765625,
34,242,92.14677429199219,
34,243,117.6718521118164,
34,244,177.12010192871094,
34,244,,69.3914794921875
35,245,81.5008316040039,
35,246,77.7951889038086,
35,247,142.1558380126953,
35,248,86.03646087646484,
35,249,131.29539489746094,
35,250,109.21935272216797,
35,251,92.70744323730469,
35,251,,68.4736099243164
36,252,98.64411926269531,
36,253,110.195556640625,
36,254,251.51736450195312,
36,255,97.9029312133789,
36,256,128.39048767089844,
36,257,77.45259857177734,
36,258,84.83806610107422,
36,258,,68.48336029052734
37,259,124.28755950927734,
37,260,82.15435028076172,
37,261,145.40489196777344,
37,262,91.3685531616211,
37,263,180.82485961914062,
37,264,95.23567962646484,
37,265,95.9776840209961,
37,265,,67.2308120727539
38,266,146.08377075195312,
38,267,133.47772216796875,
38,268,147.010498046875,
38,269,153.9751739501953,
38,270,115.78840637207031,
38,271,80.45409393310547,
38,272,128.9483184814453,
38,272,,67.6546401977539
39,273,173.01512145996094,
39,274,71.22727966308594,
39,275,59.49018478393555,
39,276,99.78022003173828,
39,277,104.7890396118164,
39,278,130.65847778320312,
39,279,166.80813598632812,
39,279,,66.88751983642578
40,280,153.7178955078125,
40,281,85.01195526123047,
40,282,138.29075622558594,
40,283,69.62054443359375,
40,284,140.9235076904297,
40,285,84.65843963623047,
40,286,157.3623809814453,
40,286,,65.92725372314453
41,287,63.51555252075195,
41,288,165.41937255859375,
41,289,136.665283203125,
41,290,55.7588996887207,
41,291,157.52490234375,
41,292,90.75035858154297,
41,293,90.76619720458984,
41,293,,64.91497802734375
42,294,86.29016876220703,
42,295,196.72801208496094,
42,296,62.30279541015625,
42,297,92.17513275146484,
42,298,103.4133529663086,
42,299,150.1203155517578,
42,300,84.56550598144531,
42,300,,64.93148803710938
43,301,78.9786605834961,
43,302,143.7165985107422,
43,303,69.93113708496094,
43,304,94.1675796508789,
43,305,65.46691131591797,
43,306,75.25589752197266,
43,307,178.36343383789062,
43,307,,64.29210662841797
44,308,100.72281646728516,
44,309,97.1158676147461,
44,310,173.56625366210938,
44,311,79.27093505859375,
44,312,80.20853424072266,
44,313,155.70689392089844,
44,314,137.1953582763672,
44,314,,64.22196197509766
45,315,97.4670639038086,
45,316,64.6649169921875,
45,317,154.55242919921875,
45,318,63.9654541015625,
45,319,91.36505889892578,
45,320,101.11067199707031,
45,321,157.98928833007812,
45,321,,64.25729370117188
46,322,82.41236877441406,
46,323,72.96739959716797,
46,324,146.54966735839844,
46,325,104.80144500732422,
46,326,105.11041259765625,
46,327,185.40322875976562,
46,328,107.4144515991211,
46,328,,63.632442474365234
47,329,71.17757415771484,
47,330,159.67129516601562,
47,331,119.6725082397461,
47,332,77.31300354003906,
47,333,207.05166625976562,
47,334,142.4725799560547,
47,335,42.57442092895508,
47,335,,63.91810989379883
48,336,77.95503997802734,
48,337,127.006591796875,
48,338,96.59138488769531,
48,339,151.874267578125,
48,340,89.44984436035156,
48,341,111.6833724975586,
48,342,126.06878662109375,
48,342,,64.83318328857422
49,343,92.71744537353516,
49,344,124.26338958740234,
49,345,117.399169921875,
49,346,141.21884155273438,
49,347,104.8986587524414,
49,348,127.4819564819336,
49,349,90.8633041381836,
49,349,,63.39923095703125
50,350,64.94068145751953,
50,351,113.91092681884766,
50,352,177.5581512451172,
50,353,96.06928253173828,
50,354,63.47024154663086,
50,355,211.47056579589844,
50,356,70.91976165771484,
50,356,,63.07261276245117
51,357,107.22063446044922,
51,358,111.84813690185547,
51,359,54.9690055847168,
51,360,162.8740692138672,
51,361,99.76134490966797,
51,362,110.64598846435547,
51,363,71.16705322265625,
51,363,,62.63139343261719
52,364,74.54510498046875,
52,365,190.35643005371094,
52,366,122.94210052490234,
52,367,88.41521453857422,
52,368,113.6455078125,
52,369,74.8670883178711,
52,370,129.84188842773438,
52,370,,62.61460494995117
53,371,153.14529418945312,
53,372,139.7694854736328,
53,373,97.17913055419922,
53,374,82.322265625,
53,375,72.68595123291016,
53,376,113.9891128540039,
53,377,89.40245056152344,
53,377,,62.4018669128418
54,378,101.06307220458984,
54,379,179.79150390625,
54,380,85.88347625732422,
54,381,97.32830810546875,
54,382,83.75139617919922,
54,383,125.56640625,
54,384,47.4036979675293,
54,384,,61.873504638671875
55,385,76.30074310302734,
55,386,64.28388214111328,
55,387,119.67597961425781,
55,388,74.8436279296875,
55,389,113.25846099853516,
55,390,101.8044662475586,
55,391,95.31169891357422,
55,391,,61.81982421875
56,392,51.738704681396484,
56,393,129.65554809570312,
56,394,92.9388656616211,
56,395,98.24278259277344,
56,396,126.6362075805664,
56,397,143.76431274414062,
56,398,90.94778442382812,
56,398,,61.76237106323242
57,399,116.99710845947266,
57,400,97.39249420166016,
57,401,72.31185150146484,
57,402,239.4820098876953,
57,403,63.520301818847656,
57,404,137.8800506591797,
57,405,63.67280197143555,
57,405,,63.4205207824707
58,406,63.0019416809082,
58,407,111.3318862915039,
58,408,103.72554016113281,
58,409,129.0877685546875,
58,410,62.819580078125,
58,411,150.96849060058594,
58,412,113.1594009399414,
58,412,,62.57126998901367
59,413,129.91046142578125,
59,414,72.11212921142578,
59,415,57.813899993896484,
59,416,86.1239013671875,
59,417,130.73464965820312,
59,418,74.5357894897461,
59,419,119.60649871826172,
59,419,,62.33561325073242
60,420,113.0322265625,
60,421,102.4618911743164,
60,422,130.79869079589844,
60,423,70.67559814453125,
60,424,179.2946014404297,
60,425,110.92449188232422,
60,426,59.6446533203125,
60,426,,61.6969108581543
61,427,86.4527816772461,
61,428,78.23860168457031,
61,429,121.53492736816406,
61,430,133.5355682373047,
61,431,110.31829071044922,
61,432,210.118896484375,
61,433,107.5279312133789,
61,433,,61.57183837890625
62,434,135.6407470703125,
62,435,69.09308624267578,
62,436,116.763427734375,
62,437,50.47731018066406,
62,438,122.673095703125,
62,439,203.49197387695312,
62,440,166.30870056152344,
62,440,,61.22816848754883
63,441,81.68157958984375,
63,442,83.16106414794922,
63,443,122.04106903076172,
63,444,54.985023498535156,
63,445,147.43544006347656,
63,446,132.13296508789062,
63,447,67.81783294677734,
63,447,,61.80693435668945
64,448,72.22407531738281,
64,449,86.87882232666016,
64,450,102.6426773071289,
64,451,140.8183135986328,
64,452,167.67552185058594,
64,453,68.01177215576172,
64,454,110.8490982055664,
64,454,,61.1348762512207
65,455,70.75006103515625,
65,456,112.82303619384766,
65,457,171.79714965820312,
65,458,59.92049026489258,
65,459,138.3162078857422,
65,460,74.08474731445312,
65,461,91.19364166259766,
65,461,,61.146697998046875
66,462,209.6212615966797,
66,463,121.0905990600586,
66,464,99.82473754882812,
66,465,112.75664520263672,
66,466,75.94451141357422,
66,467,105.03022766113281,
66,468,67.95549774169922,
66,468,,62.273197174072266
67,469,155.54891967773438,
67,470,112.85829162597656,
67,471,67.1925277709961,
67,472,84.37899017333984,
67,473,75.76363372802734,
67,474,82.22101593017578,
67,475,58.05194091796875,
67,475,,62.12765121459961
68,476,107.09822845458984,
68,477,79.6579360961914,
68,478,64.26025390625,
68,479,125.5338134765625,
68,480,65.66802978515625,
68,481,115.36287689208984,
68,482,80.9749984741211,
68,482,,61.19655990600586
69,483,59.35034942626953,
69,484,127.5296630859375,
69,485,135.54046630859375,
69,486,74.33367156982422,
69,487,85.65311431884766,
69,488,63.384735107421875,
69,489,84.03567504882812,
69,489,,61.11989212036133
70,490,105.26433563232422,
70,491,172.794189453125,
70,492,64.3365707397461,
70,493,103.68790435791016,
70,494,112.94515228271484,
70,495,67.34551239013672,
70,496,68.87492370605469,
70,496,,62.07203674316406
71,497,91.78857421875,
71,498,90.45201873779297,
71,499,128.08164978027344,
71,500,65.66608428955078,
71,501,61.513954162597656,
71,502,141.9470977783203,
71,503,79.79519653320312,
71,503,,62.20634841918945
72,504,126.8943099975586,
72,505,59.61283493041992,
72,506,91.91625213623047,
72,507,124.27142333984375,
72,508,192.43692016601562,
72,509,107.5112075805664,
72,510,64.86905670166016,
72,510,,61.0978889465332
73,511,115.68623352050781,
73,512,56.388404846191406,
73,513,70.1762924194336,
73,514,89.13289642333984,
73,515,82.7611083984375,
73,516,78.3318099975586,
73,517,74.52837371826172,
73,517,,61.18701171875
74,518,140.43280029296875,
74,519,140.8155059814453,
74,520,55.282527923583984,
74,521,60.51811599731445,
74,522,127.6583251953125,
74,523,62.315670013427734,
74,524,60.267086029052734,
74,524,,62.097957611083984
75,525,118.3285903930664,
75,526,67.51371002197266,
75,527,145.99896240234375,
75,528,136.45799255371094,
75,529,111.0262451171875,
75,530,70.83672332763672,
75,531,76.54711151123047,
75,531,,61.26520919799805
76,532,143.91183471679688,
76,533,112.8164291381836,
76,534,84.97957611083984,
76,535,53.0229606628418,
76,536,134.3889617919922,
76,537,123.64862060546875,
76,538,88.64422607421875,
76,538,,61.37472152709961
77,539,155.8647003173828,
77,540,78.53942108154297,
77,541,71.99483489990234,
77,542,67.35870361328125,
77,543,153.054443359375,
77,544,137.57151794433594,
77,545,52.679779052734375,
77,545,,60.6821403503418
78,546,73.3662338256836,
78,547,98.32988739013672,
78,548,181.15464782714844,
78,549,65.3901138305664,
78,550,106.07276916503906,
78,551,51.369171142578125,
78,552,117.35169982910156,
78,552,,60.98568344116211
79,553,90.0810317993164,
79,554,96.50882720947266,
79,555,148.93392944335938,
79,556,129.76611328125,
79,557,83.94120788574219,
79,558,70.60432434082031,
79,559,58.204566955566406,
79,559,,60.98299789428711
80,560,144.753173828125,
80,561,79.064697265625,
80,562,92.89640045166016,
80,563,58.52726364135742,
80,564,107.72362518310547,
80,565,80.31544494628906,
80,566,150.6338348388672,
80,566,,60.92497634887695
81,567,97.26123046875,
81,568,51.9206657409668,
81,569,125.44771575927734,
81,570,91.70104217529297,
81,571,112.22148895263672,
81,572,121.5956039428711,
81,573,66.16796112060547,
81,573,,61.836612701416016
82,574,77.23851013183594,
82,575,90.14381408691406,
82,576,66.57112121582031,
82,577,152.0817108154297,
82,578,117.6112060546875,
82,579,93.01205444335938,
82,580,80.77474212646484,
82,580,,61.3769416809082
83,581,87.63277435302734,
83,582,70.93709564208984,
83,583,62.1781120300293,
83,584,60.252662658691406,
83,585,89.20494842529297,
83,586,139.1322021484375,
83,587,117.864990234375,
83,587,,61.020294189453125
84,588,81.62020111083984,
84,589,182.1236114501953,
84,590,58.504920959472656,
84,591,82.4071044921875,
84,592,156.1569366455078,
84,593,68.03687286376953,
84,594,68.14556121826172,
84,594,,61.74505615234375
85,595,133.1427001953125,
85,596,96.24065399169922,
85,597,136.3387451171875,
85,598,119.8320541381836,
85,599,84.91554260253906,
85,600,83.09850311279297,
85,601,73.1911392211914,
85,601,,61.42178726196289
86,602,129.7901153564453,
86,603,120.81121063232422,
86,604,81.41704559326172,
86,605,120.56086730957031,
86,606,105.4717025756836,
86,607,75.18142700195312,
86,608,122.97871398925781,
86,608,,61.7328987121582
87,609,108.94319152832031,
87,610,142.45570373535156,
87,611,108.26509094238281,
87,612,52.05438232421875,
87,613,90.99667358398438,
87,614,63.21889114379883,
87,615,123.03490447998047,
87,615,,61.384517669677734
88,616,92.77640533447266,
88,617,103.42903137207031,
88,618,61.63241195678711,
88,619,104.93949127197266,
88,620,77.0753402709961,
88,621,115.7685546875,
88,622,96.6491928100586,
88,622,,60.80154800415039
89,623,63.37248611450195,
89,624,89.85991668701172,
89,625,131.506103515625,
89,626,67.56985473632812,
89,627,78.5956802368164,
89,628,53.26237106323242,
89,629,59.05841064453125,
89,629,,60.82918930053711
